name,survey_type,level,parent,work_area,default_expected_respondent_count
ASV St. Johns County,HSOPS 2.0,Department,,,
Administration 142,HSOPS 2.0,Unit,ASV St. Johns County,Admin/Mgmt,
Breast Health Services 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Case Mgmt,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Computerized Tomography CT 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Critical Care Unit 001,HSOPS 2.0,Unit,ASV St. Johns County,ICU(All Adult Types),
Diagnostic Radiology 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Emergency Department 001,HSOPS 2.0,Unit,ASV St. Johns County,ED/Short Stay,
Endoscopy GI 001,HSOPS 2.0,Unit,ASV St. Johns County,"Endoscopy, Colonoscopy",
Invasive Cardiology Anc 001,HSOPS 2.0,Unit,ASV St. Johns County,Other,
Magnetic Resonance Imaging 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Materials Management 001,HSOPS 2.0,Unit,ASV St. Johns County,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Nuclear Medicine 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Nursing Administration 001,HSOPS 2.0,Unit,ASV St. Johns County,Admin/Mgmt,
Nursing Unit 001,HSOPS 2.0,Unit,ASV St. Johns County,"Med/Surg, Other Pt. Care Units",
Nursing Unit 002,HSOPS 2.0,Unit,ASV St. Johns County,"Med/Surg, Other Pt. Care Units",
Occupational Therapy 001,HSOPS 2.0,Unit,ASV St. Johns County,"Med/Surg, Other Pt. Care Units",
Pastoral Spiritual Care 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Patient Transportation 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Physical Therapy 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
PreSurgery 001,HSOPS 2.0,Unit,ASV St. Johns County,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Recovery Rm Amb 001,HSOPS 2.0,Unit,ASV St. Johns County,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Respiratory Care 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Security 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Speech Therapy 001,HSOPS 2.0,Unit,ASV St. Johns County,"Many Different Hospital Units, No Specific Unit",
Stepdown Intermediate Care 001,HSOPS 2.0,Unit,ASV St. Johns County,ICU(All Adult Types),
Sterile Processing 001,HSOPS 2.0,Unit,ASV St. Johns County,Other,
Surgery 001,HSOPS 2.0,Unit,ASV St. Johns County,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,ASV St. Johns County,Surg Svcs,
Ultrasound 001,HSOPS 2.0,Unit,ASV St. Johns County,Radiology/ Imaging,
Vascular Venous Access PICC,HSOPS 2.0,Unit,ASV St. Johns County,Other,
Volunteer Services 001,HSOPS 2.0,Unit,ASV St. Johns County,Other,
